r,m,n_eq
3,1,2
21,1,2
9,0,2
189,7,6
27,0,2
567,1,5
147,6,6
3,2,3
81,0,3
25515,5,5
27,2,3
27,3,3
3,0,1
35721,4,6
6561,0,7
3,0,1
27,3,4
27,1,3
9,2,3
81,3,5
81,0,2
2083725,6,5
729,1,4
189,3,4
81,8,7
9,1,1
27,3,2
27,1,2
147,4,4
81,4,4
5103,3,5
7,2,3
1701,3,4
63,2,3
9,0,3
189,3,5
27,1,2
27,0,1
189,2,3
9,3,3
9,0,1
9,0,3
1,0,3
243,1,3
1,2,3
9,2,3
81,4,5
7,0,4
189,3,4
243,2,4
27,4,6
81,2,3
243,0,4
27,1,5
3,1,2
1,1,1
81,4,5
1,0,2
27,2,3
81,3,2
1701,3,4
9,2,4
243,2,4
194481,7,6
27,4,3
27,0,4
5103,2,5
63,3,4
9,1,3
1,0,3
81,1,4
3,2,4
1361367,8,6
243,4,4
3,0,2
81,1,5
9,0,3
3,1,2
27,0,2
3,0,2
135,4,6
243,2,4
11907,4,7
2187,2,5
9,2,3
81,2,3
243,4,6
9,1,2
9,0,3
147,1,4
3,0,3
9,2,3
9,2,4
189,2,4
729,2,6
81,2,5
5103,5,5
1,1,4
3,0,2
1,2,3
9,0,3
9,2,4
1,1,1
243,0,3
81,3,6
63,1,4
9,1,1
147,5,5
729,4,6
3,3,5
81,1,2
27,2,3
3,0,2
1,0,1
243,1,5
9,6,3
9,0,1
3,1,3
1,0,0
3,0,2
5103,7,7
1,0,0
9,3,4
9,0,1
3,1,1
81,3,5
189,1,4
7,1,4
9,2,4
5103,2,5
1,0,1
9,0,1
243,2,5
25515,3,4
243,2,3
3,0,2
81,4,4
3,2,4
9,3,2
27,0,2
243,0,2
27,0,2
27,1,2
27,1,4
441,3,5
1,0,2
189,3,3
9,0,1
27,2,3
243,0,5
1701,3,4
9,3,3
27,3,4
189,3,5
27,1,3
9,3,2
243,2,4
1,0,2
9,0,2
81,7,6
243,2,2
1,3,2
9,0,1
243,2,3
